feature,importance
load_gw_lag_52,0.3968559886918267
lag_52,0.3669606447737367
temp_max,0.030281134403332206
lag_1,0.02554026077454068
load_gw_lag_1,0.021521517703699478
week_of_year,0.018487563762454723
weekofyear,0.015947979374829717
cos_week,0.011372111819874811
load_gw_roll_mean_52,0.011267875221665408
heating_degree_days,0.009353739498728336
temp_mean,0.008897603404415637
load_gw_roll_std_52,0.008806401708583527
load_gw_lag_24,0.00669613145860657
temp_min,0.006390404353094601
load_gw_lag_3,0.0062613038357557235
load_gw_lag_4,0.005034002958241825
lag_4,0.004653655082777609
rolling_mean_8,0.004184610601827393
load_gw_roll_std_12,0.0038895735729314847
load_gw_lag_12,0.003760784902260145
lag_2,0.003676438497778037
has_holiday,0.003478845847366355
rolling_std_8,0.0031378172213738886
lag_8,0.002967343500789203
rolling_mean_4,0.002322231547366354
load_gw_roll_mean_12,0.002308054405488132
load_gw_lag_2,0.002170552487178429
rolling_std_4,0.002108420637908581
load_gw_roll_std_4,0.0020783604591610824
holiday_days,0.0020100319675264116
load_gw_roll_mean_4,0.0018456672223474068
load_gw_roll_std_24,0.0018411890423523389
load_gw_roll_mean_24,0.0018258618518945387
year,0.0007836397232790283
sin_week,0.000627857610688811
month,0.0006065692397268646
quarter,4.783083459138168e-05
cooling_degree_days,0.0
