model,mae,rmse,mase,bias,source_file
LSTM,1.1908174755366423,1.5061991173790503,0.2636711905672644,-1.0477949768440908,part6_lstm_metrics
RandomForest,1.8242978261292977,2.541894875814339,1.331818063378362,0.8194742216617231,part5_feature_model_metrics
RandomForest,1.8242978261292984,2.5418948758143394,1.3318180633783625,0.8194742216617256,part4_feature_model_metrics
GradientBoosting,1.930607651396728,2.612571277123396,1.40942893567007,0.6823806841796698,part5_feature_model_metrics
seasonal_naive,1.934977562635015,2.693204421176786,1.4562056478721217,1.0204283410232935,model_comparison
sarimax_temp,2.526040379785655,3.3577601566248996,1.9010216649683989,2.287777046391411,model_comparison
sarima,2.6629098229457857,3.4494615531939608,2.004025472350784,2.3389110520303724,model_comparison
sarima,2.6629098229457857,3.4494615531939608,2.004025472350784,2.3389110520303724,sarima_metrics
LinearRegression,2.6142230262255364,3.633721374100418,1.9084983812177445,2.274039396667906,part4_feature_model_metrics
LinearRegression,2.6142230262255364,3.633721374100418,1.9084983812177445,2.274039396667906,part5_feature_model_metrics
mean,3.3964873439683783,4.1407449628184425,2.5560937494683857,0.1573457473827884,model_comparison
naive,3.4199872924884933,4.1568420585414,2.5737791006685797,0.3979004106203559,model_comparison
drift,4.325794711916171,5.603797203758097,3.2554623953620903,2.9005314727788223,model_comparison
